web-scraper-order,web-scraper-start-url,Gouvernorat Français,Gouvernorat Arabe,wileya-href,Délégation,baladiyet-href,Délégation2,mo3tamdiyya-href,Lieux Français,Lieux Arabe
1713820794-1,https://rues-tunisie.openalfa.com/,Gouvernorat Zaghouan,زغوان,https://rues-tunisie.openalfa.com/zaghouan,Délégation Zriba,https://rues-tunisie.openalfa.com/ez-zeriba,Jeradou,https://rues-tunisie.openalfa.com/jeradou,,جرادو
1713820800-2,https://rues-tunisie.openalfa.com/,Gouvernorat Zaghouan,زغوان,https://rues-tunisie.openalfa.com/zaghouan,Délégation Zriba,https://rues-tunisie.openalfa.com/ez-zeriba,Hammam Ezzriba Sud,https://rues-tunisie.openalfa.com/ezzriba-hammam-sud,Lieux de Hammam Ezzriba Sud,حمام الزريبة الجنوبية
1713820807-3,https://rues-tunisie.openalfa.com/,Gouvernorat Zaghouan,زغوان,https://rues-tunisie.openalfa.com/zaghouan,Délégation Zriba,https://rues-tunisie.openalfa.com/ez-zeriba,Ezzriba Hammam Nord,https://rues-tunisie.openalfa.com/ezzriba-hammam-nord,,الزريبة الحمام الشمالية
1713820816-4,https://rues-tunisie.openalfa.com/,Gouvernorat Zaghouan,زغوان,https://rues-tunisie.openalfa.com/zaghouan,Délégation Zriba,https://rues-tunisie.openalfa.com/ez-zeriba,Ezzriba,https://rues-tunisie.openalfa.com/ezzriba-village,Lieux de Ezzriba,الزريبة
1713820822-5,https://rues-tunisie.openalfa.com/,Gouvernorat Zaghouan,زغوان,https://rues-tunisie.openalfa.com/zaghouan,Délégation Zriba,https://rues-tunisie.openalfa.com/ez-zeriba,El Jouf Ouest,https://rues-tunisie.openalfa.com/el-jouf-ouest,,الجوف الغربية
1713820829-6,https://rues-tunisie.openalfa.com/,Gouvernorat Zaghouan,زغوان,https://rues-tunisie.openalfa.com/zaghouan,Délégation Zriba,https://rues-tunisie.openalfa.com/ez-zeriba,El Jouf Est,https://rues-tunisie.openalfa.com/el-jouf-est,,الجوف الشرقية
1713820838-7,https://rues-tunisie.openalfa.com/,Gouvernorat Zaghouan,زغوان,https://rues-tunisie.openalfa.com/zaghouan,Délégation Zriba,https://rues-tunisie.openalfa.com/ez-zeriba,Bou Achir,https://rues-tunisie.openalfa.com/bou-achir,Lieux de Bou Achir,بوعشير
1713820842-8,https://rues-tunisie.openalfa.com/,Gouvernorat Zaghouan,زغوان,https://rues-tunisie.openalfa.com/zaghouan,Délégation Zriba,https://rues-tunisie.openalfa.com/ez-zeriba,Ain El Batria,https://rues-tunisie.openalfa.com/ain-el-batria,Lieux de Ain El Batria,عين الباطريية
1713820852-9,https://rues-tunisie.openalfa.com/,Gouvernorat Zaghouan,زغوان,https://rues-tunisie.openalfa.com/zaghouan,Délégation Zaghouan,https://rues-tunisie.openalfa.com/zaghouan_zaghouan,Zaghouan Ville,https://rues-tunisie.openalfa.com/zaghouan-ville,Lieux de Zaghouan Ville,زغوان المدينة
1713820860-10,https://rues-tunisie.openalfa.com/,Gouvernorat Zaghouan,زغوان,https://rues-tunisie.openalfa.com/zaghouan,Délégation Zaghouan,https://rues-tunisie.openalfa.com/zaghouan_zaghouan,Zaghouan Sud,https://rues-tunisie.openalfa.com/zaghouan-sud,,زغوان الجنوبية
1713820864-11,https://rues-tunisie.openalfa.com/,Gouvernorat Zaghouan,زغوان,https://rues-tunisie.openalfa.com/zaghouan,Délégation Zaghouan,https://rues-tunisie.openalfa.com/zaghouan_zaghouan,Zaghouan Nord,https://rues-tunisie.openalfa.com/zaghouan-nord,,زغوان الشمالية
1713820873-12,https://rues-tunisie.openalfa.com/,Gouvernorat Zaghouan,زغوان,https://rues-tunisie.openalfa.com/zaghouan,Délégation Zaghouan,https://rues-tunisie.openalfa.com/zaghouan_zaghouan,Oued Ezzit,https://rues-tunisie.openalfa.com/oued-ezzit,,وادي الزيت
1713820878-13,https://rues-tunisie.openalfa.com/,Gouvernorat Zaghouan,زغوان,https://rues-tunisie.openalfa.com/zaghouan,Délégation Zaghouan,https://rues-tunisie.openalfa.com/zaghouan_zaghouan,Oued Erremel,https://rues-tunisie.openalfa.com/oued-erremel,Lieux de Oued Erremel,وادي الرمل
1713820893-14,https://rues-tunisie.openalfa.com/,Gouvernorat Zaghouan,زغوان,https://rues-tunisie.openalfa.com/zaghouan,Délégation Zaghouan,https://rues-tunisie.openalfa.com/zaghouan_zaghouan,Mograne,https://rues-tunisie.openalfa.com/mograne,,مقرن
1713820897-15,https://rues-tunisie.openalfa.com/,Gouvernorat Zaghouan,زغوان,https://rues-tunisie.openalfa.com/zaghouan,Délégation Zaghouan,https://rues-tunisie.openalfa.com/zaghouan_zaghouan,Jimla,https://rues-tunisie.openalfa.com/jimla,,جيملة
1713820904-16,https://rues-tunisie.openalfa.com/,Gouvernorat Zaghouan,زغوان,https://rues-tunisie.openalfa.com/zaghouan,Délégation Zaghouan,https://rues-tunisie.openalfa.com/zaghouan_zaghouan,El Aitha,https://rues-tunisie.openalfa.com/el-aitha,,العيثة
1713820908-17,https://rues-tunisie.openalfa.com/,Gouvernorat Zaghouan,زغوان,https://rues-tunisie.openalfa.com/zaghouan,Délégation Zaghouan,https://rues-tunisie.openalfa.com/zaghouan_zaghouan,Bir Halima,https://rues-tunisie.openalfa.com/bir-halima,Lieux de Bir Halima,بئر حليمة
1713820918-18,https://rues-tunisie.openalfa.com/,Gouvernorat Zaghouan,زغوان,https://rues-tunisie.openalfa.com/zaghouan,Délégation Saouaf,https://rues-tunisie.openalfa.com/saouaf,Saouaf Ouest,https://rues-tunisie.openalfa.com/saouaf-ouest,,صواف الغربية
1713820926-19,https://rues-tunisie.openalfa.com/,Gouvernorat Zaghouan,زغوان,https://rues-tunisie.openalfa.com/zaghouan,Délégation Saouaf,https://rues-tunisie.openalfa.com/saouaf,Saouaf Est,https://rues-tunisie.openalfa.com/saouaf-est,Lieux de Saouaf Est,صواف الشرقية
1713820935-20,https://rues-tunisie.openalfa.com/,Gouvernorat Zaghouan,زغوان,https://rues-tunisie.openalfa.com/zaghouan,Délégation Saouaf,https://rues-tunisie.openalfa.com/saouaf,El Hamira,https://rues-tunisie.openalfa.com/el-hamira,Lieux de El Hamira,الحميرة
1713820939-21,https://rues-tunisie.openalfa.com/,Gouvernorat Zaghouan,زغوان,https://rues-tunisie.openalfa.com/zaghouan,Délégation Saouaf,https://rues-tunisie.openalfa.com/saouaf,Deghafla Ouest,https://rues-tunisie.openalfa.com/deghafla-ouest,,الدغافلة الغربية
1713820945-22,https://rues-tunisie.openalfa.com/,Gouvernorat Zaghouan,زغوان,https://rues-tunisie.openalfa.com/zaghouan,Délégation Saouaf,https://rues-tunisie.openalfa.com/saouaf,Deghafla Est,https://rues-tunisie.openalfa.com/deghafla-est,,الدغافلة الشرقية
1713820953-23,https://rues-tunisie.openalfa.com/,Gouvernorat Zaghouan,زغوان,https://rues-tunisie.openalfa.com/zaghouan,Délégation Ennadhour,https://rues-tunisie.openalfa.com/en-nadhour,Soughas,https://rues-tunisie.openalfa.com/sougas,Lieux de Soughas,صوغاس
1713820958-24,https://rues-tunisie.openalfa.com/,Gouvernorat Zaghouan,زغوان,https://rues-tunisie.openalfa.com/zaghouan,Délégation Ennadhour,https://rues-tunisie.openalfa.com/en-nadhour,Saouar,https://rues-tunisie.openalfa.com/saouar,Lieux de Saouar,صوار
